basis_of_record	specific_epithet	species_id	country_code	latitude	longitude	year	coordinate_precision
UNKNOWN	Ursus arctos	2433433	NO	65,44871	14,14814	2004	50
UNKNOWN	Ursus arctos	2433433	NO	60,60742	11,56472	2004	100
UNKNOWN	Ursus arctos	2433433	NO	65,50713	13,50186	2004	100
UNKNOWN	Ursus arctos	2433433	NO	65,45423	13,59983	2004	100
UNKNOWN	Ursus arctos	2433433	NO	69,24465	19,18939	2004	100
UNKNOWN	Ursus arctos	2433433	NO	65,52165	14,24947	2004	100
FOSSIL_SPECIMEN	Ursus arctos Linnaeus, 1758	2433433	TR	41,0186	28,9647		
OBSERVATION	Ursus arctos	2433433	NO	61,30386	12,74407	2008	50
UNKNOWN	Ursus arctos	2433433	NO	64,41801	13,37421	2005	50
UNKNOWN	Ursus arctos	2433433	NO	62,14518	11,31006	2005	100
UNKNOWN	Ursus arctos	2433433	NO	62,91292	11,21358	2005	100
UNKNOWN	Ursus arctos	2433433	NO	61,77015	11,06197	2005	100
UNKNOWN	Ursus arctos	2433433	NO	70,05633	28,05103	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,77353	12,83063	2005	50
UNKNOWN	Ursus arctos	2433433	NO	63,06289	10,98782	2005	100
UNKNOWN	Ursus arctos	2433433	NO	61,32488	9,89106	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,76473	12,71251	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,77875	12,80811	2006	100
UNKNOWN	Ursus arctos	2433433	NO	63,0149	10,5721	2006	50
UNKNOWN	Ursus arctos	2433433	NO	61,90552	10,35715	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,78541	10,02896	2006	100
UNKNOWN	Ursus arctos	2433433	NO	65,56516	13,56353	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,78553	10,01329	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,21372	11,43977	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,67502	11,14029	2006	50
UNKNOWN	Ursus arctos	2433433	NO	64,62476	12,49621	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,13285	11,18442	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,46487	10,6074	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,03336	10,49664	2006	100
UNKNOWN	Ursus arctos	2433433	NO	69,39259	20,56466	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,0885	10,60017	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,35097	10,65281	2007	100
UNKNOWN	Ursus arctos	2433433	NO	68,73184	18,68813	2007	100
UNKNOWN	Ursus arctos	2433433	NO	69,99286	25,26486	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,71638	9,7253	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,18384	13,74661	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,18463	13,73422	2007	100
UNKNOWN	Ursus arctos	2433433	NO	65,50864	13,966	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,41428	13,27799	2007	100
UNKNOWN	Ursus arctos	2433433	NO	62,28519	10,90048	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,74972	12,40055	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,19159	10,8268	2008	100
UNKNOWN	Ursus arctos	2433433	SE	64,48046	14,04513	2008	100
UNKNOWN	Ursus arctos	2433433	NO	64,63585	12,56846	2008	100
UNKNOWN	Ursus arctos	2433433	NO	65,61705	13,8841	2008	100
UNKNOWN	Ursus arctos	2433433	NO	61,13085	11,1403	2008	100
UNKNOWN	Ursus arctos	2433433	NO	61,84538	11,03826	2008	100
UNKNOWN	Ursus arctos	2433433	NO	63,17517	10,89243	2009	100
UNKNOWN	Ursus arctos	2433433	NO	62,80028	10,14243	2009	100
UNKNOWN	Ursus arctos	2433433	NO	64,64867	12,58406	2009	100
UNKNOWN	Ursus arctos	2433433	NO	62,30156	10,96049	2009	100
UNKNOWN	Ursus arctos	2433433	NO	61,65788	10,59176	2009	100
UNKNOWN	Ursus arctos	2433433	NO	64,16319	14,07188	2009	100
UNKNOWN	Ursus arctos	2433433	NO	64,63983	12,48435	2009	100
UNKNOWN	Ursus arctos	2433433	NO	62,83861	10,1646	2009	100
UNKNOWN	Ursus arctos	2433433	NO	62,79626	10,24604	2009	100
