y,x,bio5,bio14,ndvi_average,landcover_veg_tree,diversidad_topo,bio6,human_footprint,ndvi_range,presencia
42.76,-4.16,238,37,0.550000011920929,23.3899993896484,113,-6,25.0400009155273,0.200000002980232,1
63.23474,30.35867,203,31,0.400000005960464,46.6300010681152,31,-160,13.6599998474121,0.800000011920929,1
58.31371,25.20856,211,28,0.490000009536743,57.7099990844727,11,-92,21.6599998474121,0.819999992847443,1
43.12,-4.66,225,44,0.649999976158142,53.8699989318848,406,-5,28.1700000762939,0.349999994039536,1
62.35687,8.04756,125,53,-0.0299999993294477,9.42000007629395,404,-97,20.7299995422363,0.340000003576279,1
62.12284,10.25565,150,34,0.180000007152557,9.97999954223633,111,-141,12.6099996566772,0.720000028610229,1
65.35361,14.28526,143,59,0.119999997317791,9.38000011444092,209,-109,12.7700004577637,0.839999973773956,1
57.87213,25.9043,213,29,0.469999998807907,50.3499984741211,10,-95,28.8999996185303,0.810000002384186,1
63.30064,11.58575,149,44,0.129999995231628,10.9499998092651,154,-127,14.8999996185303,0.879999995231628,1
63.30035,11.96898,150,45,0.230000004172325,12.789999961853,141,-128,12.960000038147,0.899999976158142,1
62.26971,7.80374,107,65,-0.0799999982118607,3.11999988555908,215,-105,11.3000001907349,0.0900000035762787,1
68.73633,18.69256,131,31,0.0500000007450581,6.15000009536743,234,-135,7.32000017166138,0.660000026226044,1
46.285,16.037,252,46,0.649999976158142,46.4099998474121,158,-50,35.4500007629395,0.519999980926514,1
61.10849,11.84305,181,27,0.379999995231628,43.1199989318848,79,-123,19.4699993133545,0.740000009536743,1
62.29778,10.69106,162,26,0.349999994039536,34.5800018310547,203,-135,39.4500007629395,0.889999985694885,1
60.76876,9.88,185,33,0.370000004768372,46.4500007629395,124,-129,22.2800006866455,0.839999973773956,1
61.41334,6.26086,132,103,0.0799999982118607,12.6599998474121,268,-52,19.3199996948242,0.790000021457672,1
69.82993,22.80071,143,37,0.100000001490116,5.42000007629395,91,-207,10.8999996185303,0.75,1
42.75,-5.02,251,35,0.560000002384186,29.75,128,-15,35.2200012207031,0.189999997615814,1
42.92,-6.37,225,41,0.649999976158142,45.060001373291,238,-26,38.3800010681152,0.300000011920929,1
59.57645,25.67235,211,30,0.0799999982118607,43.9000015258789,22,-93,31.4899997711182,0.550000011920929,1
58.86253,26.21981,211,29,0.419999986886978,47.9700012207031,9,-98,32.9900016784668,0.800000011920929,1
50.433,5,220,60,0.660000026226044,33.6500015258789,58,-13,62.8199996948242,0.28999999165535,1
42.47,0.51,206,68,0.620000004768372,42.4900016784668,254,-38,19.3600006103516,0.230000004172325,1
60.90921,11.1909,186,28,0.419999986886978,37.2299995422363,155,-120,34.2700004577637,0.889999985694885,1
60.42647,10.61657,192,36,0.449999988079071,48.4300003051758,151,-109,44.1300010681152,0.839999973773956,1
61.25519,12.30242,182,26,0.419999986886978,43.0200004577637,116,-123,30.7999992370605,0.810000002384186,1
64.25563,11.85228,165,64,0.150000005960464,26.1200008392334,140,-77,23.4500007629395,0.75,1
68.77035,18.50255,144,29,0.200000002980232,11.8400001525879,293,-113,10.5,0.910000026226044,1
61.42688,6.80886,141,81,0.109999999403954,12.0500001907349,455,-60,24.7099990844727,0.709999978542328,1
66.02261,13.59091,153,91,0.259999990463257,21.6100006103516,176,-61,29.3199996948242,0.829999983310699,1
60.86665,8.60228,139,39,0.129999995231628,9.34000015258789,307,-139,19.9599990844727,0.730000019073486,1
64.01752,12.69846,153,62,0.159999996423721,10.8900003433228,105,-107,1.70000004768372,0.939999997615814,1
70.26522,28.10628,141,24,0.140000000596046,12.539999961853,84,-122,17.4099998474121,0.75,1
61.27557,10.22728,188,27,0.430000007152557,36.6699981689453,184,-125,46.060001373291,0.910000026226044,1
64.45231,11.65261,166,67,0.319999992847443,40.5200004577637,121,-64,49.0400009155273,0.910000026226044,1
61.10882,25.30279,209,33,0.379999995231628,47.4900016784668,16,-114,24.25,0.769999980926514,1
64.88959,12.38914,162,81,0.119999997317791,19.7900009155273,197,-70,16.0599994659424,0.769999980926514,1
60.66296,9.60558,170,37,0.300000011920929,28.3500003814697,176,-137,17.1800003051758,0.930000007152557,1
58.13996,25.72624,210,29,0.360000014305115,52.4599990844727,12,-96,27.4200000762939,0.769999980926514,1
58.30825,24.86681,210,29,0.529999971389771,68.1999969482422,7,-91,14.9200000762939,0.740000009536743,1
62.98873,10.20027,162,42,0.389999985694885,33.0699996948242,120,-99,26.1399993896484,0.860000014305115,1
65.58285,14.31084,145,60,0.119999997317791,11.4700002670288,173,-101,10.5699996948242,0.810000002384186,1
60.48832,12.14426,200,33,0.419999986886978,46.6800003051758,85,-96,42.7799987792969,0.790000021457672,1
60.5645,9.8737,200,31,0.439999997615814,52.4199981689453,191,-115,27.25,0.800000011920929,1
43.09,-6.24,222,45,0.639999985694885,42.3199996948242,337,-23,24.5,0.310000002384186,1
47.2215,15.3362,217,43,0.689999997615814,61.8699989318848,188,-82,36.5900001525879,0.490000009536743,1
64.12042,13.29879,150,59,0.0399999991059303,7.84000015258789,129,-117,5.69000005722046,0.75,1
63.63448,11.78977,156,53,0.00999999977648258,11.3599996566772,127,-109,16.5200004577637,0.860000014305115,1
65.80028,14.50471,145,53,0.0900000035762787,10.6199998855591,115,-106,10.4300003051758,0.939999997615814,1
62.39123,11.13961,156,24,0.300000011920929,28.7299995422363,112,-144,28.3199996948242,0.870000004768372,1
57.60663,26.58176,216,29,0.490000009536743,47.6800003051758,11,-98,28.6599998474121,0.829999983310699,1
