Species,Lon,Lat
Ursus arctos,25.87603,58.77017
Ursus arctos,5.82187,61.24837
Ursus arctos,13.82343,65.85544
Ursus arctos,24.94352,69.94823
Ursus arctos,18.95,47.7358
Ursus arctos,24.16352,58.56419
Ursus arctos,25.86429,59.12934
Ursus arctos,23.67187,58.65754
Ursus arctos,8.59014,61.06712
Ursus arctos,14.07056,66.05004
Ursus arctos,9.3836,61.91174
Ursus arctos,26.39812,58.59396
Ursus arctos,27.25612,58.32563
Ursus arctos,24.68632,59.32341
Ursus arctos,12.12423,64.08303
Ursus arctos,10.54722,61.10528
Ursus arctos,7.95329,59.64821
Ursus arctos,20.533,48.333
Ursus arctos,9.48608,61.57059
Ursus arctos,9.58434,62.02172
Ursus arctos,30.63254,70.38471
Ursus arctos,25.88764,58.41095
Ursus arctos,-5.4,43.1
Ursus arctos,-4.65,42.76
Ursus arctos,26.03135,59.40012
Ursus arctos,27.59154,57.96524
Ursus arctos,9.01468,60.78284
Ursus arctos,8.50275,59.65708
Ursus arctos,7.98619,59.43646
Ursus arctos,10.45908,62.79426
Ursus arctos,7.7167,47.3
Ursus arctos,24.98608,59.20849
Ursus arctos,11.1918,62.76904
Ursus arctos,8.65327,58.68833
Ursus arctos,9.14695,59.40908
Ursus arctos,7.10821,58.35598
Ursus arctos,10.18341,60.30351
Ursus arctos,9.79296,62.98815
Ursus arctos,9.86444,59.87315
Ursus arctos,10.72967,61.69213
Ursus arctos,11.88333,60.94143
Ursus arctos,27.96639,59.31038
Ursus arctos,25.8493,59.57801
Ursus arctos,0.98,42.75
Ursus arctos,10.90986,62.0983
Ursus arctos,8.7107,62.24314
Ursus arctos,24.48144,58.93016
Ursus arctos,9.42171,61.30146
Ursus arctos,12.01094,62.00372
Ursus arctos,9.13309,62.56082
Ursus arctos,11.81507,63.03224
Ursus arctos,12.38154,64.40278
Ursus arctos,14.973,48.8388
Ursus arctos,10.2295,61.85554
Ursus arctos,9.05434,60.3402
Ursus arctos,9.22417,48.8048
Ursus arctos,26.21573,59.04213
Ursus arctos,9.13114,60.51702
Ursus arctos,11.8955,62.42611
Ursus arctos,23.8962,59.28169
Ursus arctos,0.26,42.55
Ursus arctos,9.77417,48.4038
Ursus arctos,16.7,49.267
Ursus arctos,25.54175,58.49732
Ursus arctos,-5.63,42.74
Ursus arctos,-6.1,43.27
Ursus arctos,11.9497,60.40002
Ursus arctos,14.15386,64.19305
Ursus arctos,10.724,60.84182
Ursus arctos,26.2302,58.41344
Ursus arctos,25.03736,58.31098
Ursus arctos,23.91843,62.36185
Ursus arctos,12.1929,63.63314
Ursus arctos,10.23532,60.91263
Ursus arctos,10.79131,61.5022
Ursus arctos,-3.92,42.94
Ursus arctos,24.82815,58.93644
Ursus arctos,24.46783,59.10959
Ursus arctos,12.63105,61.07631
Ursus arctos,25.66404,69.34136
Ursus arctos,26.91353,58.77505
Ursus arctos,11.57365,62.31249
Ursus arctos,26.73993,58.86463
